JAYDEN, 0, 1, 0, 0, 0, 1
DANIEL, 0, 1, 0, 0, 0, 1
MICHAEL, 0, 1, 0, 0, 0, 1
MATTHEW, 0, 1, 0, 0, 0, 1
DAVID, 0, 1, 0, 0, 0, 1
JOSHUA, 1, 0, 0, 0, 1, 1
JUSTIN, 0, 1, 0, 0, 0, 1
ANTHONY, 0, 0, 0, 1, 1, 1
CHRISTOPHER, 0, 1, 0, 0, 0, 1
ETHAN, 0, 1, 0, 0, 0, 1
RYAN, 0, 1, 0, 0, 0, 1
JOSEPH, 0, 0, 1, 0, 0, 1
ALEXANDER, 0, 1, 0, 0, 0, 1
JACOB, 0, 1, 0, 0, 0, 1
KEVIN, 0, 1, 0, 0, 0, 1
BRANDON, 0, 1, 0, 0, 0, 1
JONATHAN, 0, 1, 0, 0, 0, 1
CHRISTIAN, 0, 1, 0, 0, 0, 1
NICHOLAS, 0, 1, 0, 0, 0, 1
ANDREW, 0, 1, 0, 0, 0, 1
WILLIAM, 0, 1, 0, 0, 0, 1
DYLAN, 0, 1, 0, 0, 0, 1
JAMES, 0, 1, 0, 0, 0, 1
JASON, 0, 1, 0, 0, 0, 1
JOHN, 0, 0, 1, 0, 0, 1
ELIJAH, 0, 1, 0, 0, 0, 1
GABRIEL, 0, 1, 0, 0, 0, 1
SAMUEL, 0, 1, 0, 0, 0, 1
ANGEL, 0, 1, 0, 0, 0, 1
SEBASTIAN, 0, 1, 0, 0, 0, 1
AIDEN, 0, 1, 0, 0, 0, 1
NOAH, 0, 1, 0, 0, 0, 1
AARON, 0, 1, 0, 0, 0, 1
BENJAMIN, 0, 1, 0, 0, 0, 1
LUCAS, 0, 1, 0, 0, 0, 1
ERIC, 0, 1, 0, 0, 0, 1
JEREMIAH, 0, 1, 0, 0, 0, 1
TYLER, 0, 1, 0, 0, 0, 1
BRIAN, 0, 1, 0, 0, 0, 1
JACK, 0, 0, 1, 0, 0, 1
ISAAC, 0, 1, 0, 0, 0, 1
XAVIER, 0, 1, 0, 0, 0, 1
EVAN, 0, 1, 0, 0, 0, 1
ADRIAN, 0, 1, 0, 0, 0, 1
HENRY, 0, 0, 0, 1, 1, 1
NATHANIEL, 0, 1, 0, 0, 0, 1
AIDAN, 0, 1, 0, 0, 0, 1
LUIS, 0, 1, 0, 0, 0, 1
BRYAN, 0, 1, 0, 0, 0, 1
ADAM, 0, 1, 0, 0, 0, 1
THOMAS, 0, 1, 0, 0, 0, 1
ISAIAH, 0, 1, 0, 0, 0, 1
JADEN, 0, 1, 0, 0, 0, 1
JORDAN, 0, 1, 0, 0, 0, 1
SEAN, 0, 1, 0, 0, 0, 1
JULIAN, 0, 1, 0, 0, 0, 1
STEVEN, 0, 1, 0, 0, 0, 1
NATHAN, 0, 1, 0, 0, 0, 1
JEREMY, 0, 0, 0, 1, 1, 1
JOSE, 0, 0, 0, 1, 1, 1
KYLE, 0, 0, 0, 1, 1, 1
MAX, 0, 1, 0, 0, 0, 1
CHARLES, 0, 1, 0, 0, 0, 1
JOEL, 0, 1, 0, 0, 0, 1
ALEX, 0, 1, 0, 0, 0, 1
MOSHE, 0, 0, 0, 1, 1, 1
ZACHARY, 0, 0, 0, 1, 1, 1
ABRAHAM, 0, 1, 0, 0, 0, 1
CARLOS, 0, 1, 0, 0, 0, 1
VINCENT, 0, 0, 1, 0, 0, 1
ROBERT, 0, 0, 1, 0, 0, 1
IVAN, 0, 1, 0, 0, 0, 1
JOSIAH, 0, 1, 0, 0, 0, 1
TRISTAN, 0, 1, 0, 0, 0, 1
LIAM, 0, 1, 0, 0, 0, 1
OLIVER, 0, 1, 0, 0, 0, 1
LUKE, 0, 0, 0, 1, 1, 1
JAKE, 0, 0, 0, 1, 1, 1
VICTOR, 0, 1, 0, 0, 0, 1
LEO, 1, 0, 0, 0, 1, 1
CHAIM, 0, 1, 0, 0, 0, 1
ELI, 0, 0, 0, 1, 1, 1
OSCAR, 0, 1, 0, 0, 0, 1
RICHARD, 0, 0, 1, 0, 0, 1
ANDY, 0, 0, 0, 1, 1, 1
MARK, 0, 0, 1, 0, 0, 1
EMMANUEL, 0, 1, 0, 0, 0, 1
